Question,Type,Options,Required,Section
"PARTE 1: CONTEXTO DO NEGÓCIO","Section",,,"Yes"
"Me conta um pouco sobre a sua empresa de tokenização. Como funciona hoje?","Paragraph",,"Yes",
"Quantos clientes ativos vocês têm na plataforma?","Short Answer",,"Yes",
"Qual é o perfil desses clientes? (tamanho, segmento, tipo de uso)","Paragraph",,"Yes",
"Quais são os principais casos de uso da tokenização que vocês oferecem hoje?","Paragraph",,"Yes",
"Como está o crescimento da plataforma? Vocês estão satisfeitos com a tração atual?","Paragraph",,"No",
"PARTE 2: ORIGEM DA IDEIA E PROBLEMA","Section",,,"Yes"
"Como surgiu a ideia de oferecer emissão de stablecoins para seus clientes?","Paragraph",,"Yes",
"Foi demanda de algum cliente específico ou vocês identificaram essa oportunidade internamente?","Multiple Choice","Demanda de clientes|Identificação interna|Ambos","Yes",
"[SE FOI DEMANDA] Quantos clientes já pediram isso explicitamente?","Short Answer",,"No",
"[SE FOI DEMANDA] O que exatamente esses clientes pediram? Descreva a situação/conversa.","Paragraph",,"No",
"[SE FOI DEMANDA] Que problema específico esses clientes estavam tentando resolver?","Paragraph",,"No",
"Você mencionou que 'os clientes não têm compliance para emitir stablecoin'. Me explica melhor: que tipo de compliance é necessário e por que isso é um impeditivo?","Paragraph",,"Yes",
"Por que seus clientes querem emitir stablecoins? O que eles ganham com isso que não têm hoje?","Paragraph",,"Yes",
"Seus clientes já tentaram usar alternativas existentes? (USDC, USDT, outras stablecoins, Pix, TED)","Multiple Choice","Sim|Não|Não sei","Yes",
"[SE SIM] Por que essas alternativas não funcionaram para eles?","Paragraph",,"No",
"Se essa solução NÃO existisse, o que aconteceria com esses clientes?","Checkboxes","Desistiriam da ideia|Usariam outra solução|O negócio deles estaria em risco|Continuariam do jeito atual|Outro","Yes",
"Como seus clientes movimentam dinheiro hoje? Descreva o fluxo completo.","Paragraph",,"Yes",
"Quais as principais DORES que eles têm com o processo atual?","Checkboxes","Custos altos|Lentidão|Falta de rastreabilidade|Problemas internacionais|Compliance complexo|Outro","Yes",
"Quanto esse problema CUSTA para seus clientes hoje? (em tempo, dinheiro, oportunidades perdidas)","Paragraph",,"Yes",
"Esse problema é um 'nice to have' ou um 'must have' para os clientes?","Multiple Choice","Nice to have|Must have|Não tenho certeza","Yes",
"PARTE 3: SOLUÇÃO IMAGINADA","Section",,,"Yes"
"Descreva como você imagina que essa solução funcionaria na prática, do depósito ao resgate.","Paragraph",,"Yes",
"Por que cada cliente precisa ter seu próprio token (BRL1, BRL2, etc)? Qual a vantagem vs ter um único token da plataforma?","Paragraph",,"Yes",
"Essa separação de tokens por cliente é: ","Multiple Choice","Requisito legal/regulatório|Escolha técnica|Escolha de negócio|Não sei|Outro","Yes",
"Onde os REAIS depositados ficariam custodiados?","Multiple Choice","Conta da nossa empresa|Conta do cliente|SPE separada|Ainda não definimos|Outro","Yes",
"Quanto tempo levaria entre o depósito de reais e o mint (criação) do token?","Multiple Choice","Instantâneo|Até 1 hora|Até 1 dia útil|Mais de 1 dia|Não definimos","Yes",
"Existem limites de depósito?","Checkboxes","Sim, mínimo por transação|Sim, máximo por transação|Sim, máximo diário|Não há limites|Ainda não definimos","Yes",
"Quando você diz que o cliente 'usa como quiser', o que isso significa EXATAMENTE?","Checkboxes","Transferir para outras carteiras|Pagar fornecedores|Trocar por outros ativos|Usar em DeFi|Fazer pagamentos|Outro","Yes",
"Os tokens de clientes diferentes podem interagir? (Ex: BRL1 pode ser enviado para quem tem BRL2?)","Multiple Choice","Sim, totalmente intercambiáveis|Não, são isolados|Parcialmente|Não sei|Outro","Yes",
"Onde o cliente final vai 'guardar' (custodiar) esse token?","Checkboxes","Carteira fornecida por vocês|Carteira própria do cliente|Exchange|Ainda não definimos|Outro","Yes",
"Como seria o processo para o cliente RESGATAR os reais de volta?","Paragraph",,"Yes",
"Quanto tempo de liquidação para resgates?","Multiple Choice","Instantâneo|Até 1 hora|Até 1 dia útil|Até 2 dias úteis|Mais de 2 dias|Não definimos","Yes",
"Haverá taxas? Se sim, quais?","Paragraph",,"Yes",
"PARTE 4: REQUISITOS REGULATÓRIOS","Section",,,"Yes"
"Vocês já mapearam os requisitos regulatórios brasileiros para emissão de stablecoins?","Multiple Choice","Sim, completamente|Sim, parcialmente|Não, ainda não|Estamos estudando","Yes",
"Já conversaram com advogados especializados em cripto/stablecoins?","Multiple Choice","Sim|Não|Planejamos conversar em breve","Yes",
"Quem seria LEGALMENTE o emissor do token?","Multiple Choice","Nossa empresa|O cliente final|Ambos (co-emissão)|Ainda não sabemos|Outro","Yes",
"Como funciona o KYC/AML na sua plataforma hoje?","Paragraph",,"Yes",
"Esse processo de KYC/AML mudaria com a emissão de stablecoins?","Multiple Choice","Sim, significativamente|Sim, um pouco|Não mudaria|Não sabemos ainda","Yes",
"Quem seria responsável pelo KYC do usuário final (end-user)?","Multiple Choice","Nossa empresa|O cliente|Compartilhado|Não definimos","Yes",
"Vocês precisam ser instituição de pagamento regulada pelo Banco Central para isso?","Multiple Choice","Sim|Não|Não sabemos|Estamos investigando","Yes",
"Como seria o compliance de prevenção à lavagem de dinheiro (PLD)?","Paragraph",,"No",
"PARTE 5: REQUISITOS TÉCNICOS (XRPL/XAHAU)","Section",,,"Yes"
"Por que especificamente XRPL e Xahau? É requisito regulatório ou escolha técnica?","Paragraph",,"Yes",
"Vocês já têm infraestrutura rodando na XRPL atualmente?","Multiple Choice","Sim, em produção|Sim, em testes|Não, seria do zero|Outro","Yes",
"[SE SIM] O que vocês já têm implementado na XRPL hoje?","Paragraph",,"No",
"Vocês conhecem as limitações de smart contracts na XRPL? (Hooks limitados vs Xahau)","Multiple Choice","Sim, conhecemos bem|Conhecemos parcialmente|Não conhecemos|Estamos estudando","Yes",
"Já avaliaram os custos de transação na XRPL?","Multiple Choice","Sim, em detalhe|Sim, superficialmente|Não avaliamos|Não sabemos","No",
"Volume estimado de transações por mês (quando em operação):","Multiple Choice","Menos de 1.000|1.000 - 10.000|10.000 - 100.000|Mais de 100.000|Não sabemos","No",
"Os tokens ficarão na XRPL (L1) ou Xahau (L2)?","Multiple Choice","XRPL (L1)|Xahau (L2)|Ambos|Ainda não definimos","Yes",
"Será necessária uma bridge entre XRPL e Xahau?","Multiple Choice","Sim|Não|Talvez|Não sabemos","No",
"PARTE 6: MODELO DE NEGÓCIO","Section",,,"Yes"
"Qual seria o modelo de receita dessa solução?","Checkboxes","Setup fee (taxa inicial)|Fee por transação|Custody fee (mensalidade)|% sobre volume transacionado|Outro|Ainda não definimos","Yes",
"Quantos clientes vocês precisam ter usando isso para ser viável economicamente?","Short Answer",,"No",
"Qual o investimento inicial necessário estimado? (tecnologia, legal, compliance)","Paragraph",,"No",
"Qual o prazo esperado para lançamento?","Multiple Choice","1-3 meses|3-6 meses|6-12 meses|Mais de 12 meses|Não definimos","Yes",
"PARTE 7: CASOS DE USO CONCRETOS","Section",,,"Yes"
"CLIENTE EXEMPLO 1: Descreva um cliente real (ou tipo de cliente) que usaria essa solução","Paragraph",,"Yes",
"[CLIENTE 1] Qual segmento e tamanho desse cliente?","Short Answer",,"Yes",
"[CLIENTE 1] Para que ele usaria essa stablecoin especificamente?","Paragraph",,"Yes",
"[CLIENTE 1] Com que frequência ele usaria? (transações por mês)","Short Answer",,"No",
"[CLIENTE 1] Qual o volume financeiro mensal estimado?","Short Answer",,"No",
"[CLIENTE 1] Por que a solução atual NÃO serve para esse cliente?","Paragraph",,"Yes",
"CLIENTE EXEMPLO 2: Descreva outro cliente/tipo de cliente diferente do primeiro","Paragraph",,"No",
"[CLIENTE 2] Qual segmento e tamanho desse cliente?","Short Answer",,"No",
"[CLIENTE 2] Para que ele usaria essa stablecoin especificamente?","Paragraph",,"No",
"[CLIENTE 2] Por que a solução atual NÃO serve para esse cliente?","Paragraph",,"No",
"Desses exemplos, qual é o mais IMPORTANTE/URGENTE? Por quê?","Paragraph",,"Yes",
"Vocês já têm clientes que se comprometeram a TESTAR essa solução?","Multiple Choice","Sim, vários clientes|Sim, 1-2 clientes|Não, mas temos interessados|Não temos ainda","Yes",
